STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/1/2019,7.61,0.01,0.1,0,34,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/1/2019,8.72,0.01,0.1,0,30,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/1/2019,11.63,0,0,0,38,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/1/2019,8.05,0,0,0,48,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/1/2019,8.28,0,0,0,52,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/1/2019,11.63,0,0,0,40,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/1/2019,15.66,0.44,0,0,53,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/1/2019,14.54,0,0,0,45,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/1/2019,13.65,0,0,0,24,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/1/2019,4.47,0,0,0,24,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/1/2019,4.92,0,0,0,30,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/1/2019,11.41,0.12,2.2,0,32,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/1/2019,12.53,0.01,0.3,2,31,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/1/2019,8.28,0,0,2,27,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/1/2019,11.18,0,0,1.2,32,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/1/2019,9.4,0,0,1.2,34,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/1/2019,5.59,0,0,0,35,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/1/2019,10.51,0.12,1.3,0,31,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/1/2019,20.13,0.18,3.7,3.9,28,11
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/1/2019,13.42,0,0,5.1,14,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/1/2019,8.5,0,0.1,5.1,17,3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/1/2019,9.4,0.18,0.5,5.1,33,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/1/2019,9.84,0.22,1,3.9,34,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/1/2019,11.63,0,0.4,5.1,22,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/1/2019,9.4,0.03,0.7,5.1,5,-6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/1/2019,5.82,0.06,1.7,7.1,12,-7
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/1/2019,6.93,0,0,7.1,11,-5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/1/2019,12.75,0.53,5,9.1,34,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/1/2019,14.54,0,0.3,9.8,10,-10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/1/2019,15.21,0,0,7.9,-10,-23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",31/1/2019,6.26,0.05,0.8,7.9,1,-21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/2/2019,5.14,0.02,0.9,9.1,21,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/2/2019,11.18,0,0,9.1,42,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/2/2019,10.07,0,0,3.9,48,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/2/2019,11.41,0.05,0,0,51,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/2/2019,9.4,0.31,0,0,33,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/2/2019,8.5,0.01,0,0,36,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/2/2019,12.97,0.71,0,0,44,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/2/2019,17.67,0,0,0,13,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/2/2019,5.82,0,0,0,24,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/2/2019,6.93,0.04,0.7,0,28,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/2/2019,12.3,0.19,0.1,1.2,31,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/2/2019,13.65,0.35,1.5,1.2,34,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/2/2019,12.75,0.01,0.6,2,27,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/2/2019,10.51,0,0,1.2,50,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/2/2019,12.53,0,0,0,32,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/2/2019,8.95,0,0,0,29,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/2/2019,11.18,0.2,3.1,0,27,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/2/2019,7.61,0.06,1.8,3.9,31,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/2/2019,4.7,0,0,3.1,35,12
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/2/2019,13.87,0.09,0.2,2,38,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/2/2019,10.74,0,0,1.2,35,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/2/2019,7.61,0,0,0,41,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/2/2019,10.29,0.75,0,0,53,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/2/2019,24.38,0.02,0,0,50,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/2/2019,10.51,0,0,0,19,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/2/2019,12.53,0,0.1,0,23,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/2/2019,10.07,0,0,0,30,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/2/2019,4.47,0,0,0,27,11
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/3/2019,5.82,0,0,0,34,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/3/2019,8.5,0,0,0,33,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/3/2019,12.08,0,0,0,25,3
